participantId,group,lecture_type,practice_type,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r
5e0b388b15ef4037cebdecc9,CC,Control,Control,3,7.666666666666667,0.6666666666666666,0.3285,0.16086666666666666,-0.2602333333333333,0.3481,0.09156666666666666,-0.22403333333333333,0.35009999999999997,1
64012ee6e3f2e59aaa36f718,CC,Control,Control,3,6.333333333333333,1,0.2116333333333333,0.3528,-0.06829999999999997,0.2116333333333333,0.2667333333333333,-0.048866666666666655,0.18526666666666666,0
6448503fab8d495eb76b51b0,CC,Control,Control,3,6.666666666666667,0.33333333333333337,-0.1393333333333333,0.8114333333333333,0.3903333333333333,0.3903333333333333,0.7346666666666667,0.41906666666666664,0.41906666666666664,0
65ccca52871269168cc029b5,CC,Control,Control,3,6,0.33333333333333337,-0.04856666666666667,0.6584666666666666,0.2373666666666667,0.2373666666666667,0.6255333333333334,0.30993333333333334,0.30993333333333334,0
663eb286696a0a72e8f06e0f,CC,Control,Control,3,6.333333333333333,1,0.20426666666666668,0.48496666666666666,0.06386666666666671,0.20426666666666668,0.41933333333333334,0.10373333333333334,0.24486666666666665,0
6985cae61f4f48abdf956530,CC,Control,Control,3,6.333333333333333,1,0.36983333333333335,0.010266666666666691,-0.41083333333333333,0.4719666666666667,-0.030833333333333355,-0.3464333333333333,0.3996333333333333,1
698b661701f0981576ed9dec,CC,Control,Control,3,6,0.6666666666666666,-0.01616666666666668,0.47900000000000004,0.05790000000000005,0.12236666666666668,0.3661,0.050499999999999975,0.11183333333333331,0
69991d70dd2583a349d03468,CC,Control,Control,3,6,1,0.28586666666666666,0.23703333333333332,-0.18406666666666663,0.28586666666666666,0.1736666666666667,-0.1419333333333333,0.26280000000000003,1
699a436ee9032e2b2333d3c1,CC,Control,Control,3,6,0.6666666666666666,0.13593333333333332,0.36723333333333336,-0.05386666666666664,0.15473333333333333,0.29819999999999997,-0.01740000000000002,0.10493333333333332,0
69b5d74131631c0333607bec,CC,Control,Control,3,6,1,0.1925,0.3141333333333333,-0.10696666666666665,0.1925,0.24353333333333332,-0.07206666666666668,0.16053333333333333,0
69bad0d8d699e854ef8e8184,CC,Control,Control,3,6,1,0.16979999999999998,0.23223333333333335,-0.18886666666666663,0.3101333333333333,0.17930000000000001,-0.1363,0.24236666666666667,0
69c440c36f9c43fe1266a56b,CC,Control,Control,3,6.666666666666667,0.33333333333333337,-0.07556666666666666,0.5156666666666666,0.09456666666666667,0.09456666666666667,0.3653666666666667,0.04976666666666666,0.05416666666666666,0
69c59eeb6b373bc928a1aba9,CC,Control,Control,3,6,0.6666666666666666,0.08429999999999999,0.2846,-0.13649999999999998,0.21763333333333337,0.26003333333333334,-0.05556666666666665,0.22416666666666665,0
69d5bc72bf90388665397b6e,CC,Control,Control,3,6.666666666666667,0.6666666666666666,-0.07466666666666666,0.5095,0.0884,0.16033333333333333,0.4156,0.10000000000000002,0.10000000000000002,0
69e293f57120947b9a8408de,CC,Control,Control,3,6,0.33333333333333337,-0.09276666666666664,0.3174,-0.10369999999999994,0.6161666666666666,0.40323333333333333,0.08763333333333331,0.7821,0
69e7ac40430645b3492b7f1b,CC,Control,Control,3,6.333333333333333,1,0.10846666666666666,0.4827666666666667,0.0616666666666667,0.10846666666666666,0.44889999999999997,0.1333,0.1447,0
69e96cde65aa9df15260c718,CC,Control,Control,3,9.666666666666666,0.6666666666666666,0.14506666666666665,0.19783333333333333,-0.22326666666666664,0.22326666666666664,0.1706,-0.145,0.145,0
69e9f6a993985bfec2114d70,CC,Control,Control,3,6.666666666666667,1,0.24483333333333332,0.2704,-0.15069999999999997,0.2547,0.23353333333333332,-0.08206666666666665,0.19573333333333331,0
69eae5f4f5ce43d5a34d388f,CC,Control,Control,3,6.666666666666667,0.6666666666666666,-0.019399999999999997,0.6597666666666666,0.2386666666666667,0.24413333333333334,0.5910666666666666,0.27546666666666664,0.2785333333333333,0
69ecc0e01df33a8b5fa811f2,CC,Control,Control,3,6,1,0.3953333333333333,0.22783333333333333,-0.19326666666666667,0.3953333333333333,0.13756666666666667,-0.17803333333333332,0.3397,1
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,3,6,0.6666666666666666,0.13943333333333333,0.48419999999999996,0.06310000000000002,0.20236666666666667,0.39993333333333336,0.08433333333333334,0.2354,0
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,3,6.333333333333333,0.6666666666666666,-0.006233333333333346,0.48606666666666665,0.06496666666666669,0.07103333333333335,0.3632666666666667,0.04766666666666667,0.04766666666666667,0
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,3,6,0.6666666666666666,0.16173333333333334,0.24903333333333333,-0.17206666666666665,0.17206666666666665,0.16253333333333334,-0.15306666666666666,0.15306666666666666,1
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,3,6,0.6666666666666666,0.10129999999999997,0.5160666666666667,0.09496666666666673,0.11410000000000001,0.37843333333333334,0.06283333333333332,0.09970000000000001,0
676276312d87ec9601be7d5c,CP,Control,PlotWise,3,6.333333333333333,0.6666666666666666,0.08073333333333335,0.29036666666666666,-0.1307333333333333,0.1307333333333333,0.23493333333333333,-0.08066666666666666,0.08433333333333334,0
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,3,6,1,0.3897,0.16373333333333337,-0.25736666666666663,0.3897,0.09926666666666667,-0.21633333333333335,0.3354666666666667,1
67eec9e200be02ad51843d9b,CP,Control,PlotWise,3,6,0.33333333333333337,-0.0629666666666667,0.7049333333333333,0.2838333333333334,0.2838333333333334,0.6011,0.2855,0.2855,0
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,3,6,0.33333333333333337,0.06713333333333332,0.3304333333333333,-0.09066666666666665,0.11853333333333332,0.3224,0.006800000000000009,0.008599999999999997,0
695bbdf21fd961458dd7390f,CP,Control,PlotWise,3,7,0.6666666666666666,0.03736666666666665,0.24193333333333333,-0.17916666666666664,0.17916666666666664,0.2171,-0.09849999999999999,0.09849999999999999,0
