participantId,group,lecture_type,practice_type,prior_correlation,prior_slope,prior_total,value_estimation_performance,value_correlation_performance,value_slope_performance,add_points_correct_direction,add_points_intended_delta_r,add_points_slope_preservation,n_open_items,open_response_score,open_response_mean,choose_r_pct_correct,choose_r_score,interest_future,interest_maintained,interest_triggered
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,0.5,0.5,1,-0.5527500000000001,-0.25749999999999995,-0.8480000000000001,0.6666666666666666,0.10129999999999996,-0.0997,4,1,0.25,0.5,1,6,2.5,3.5
676276312d87ec9601be7d5c,CP,Control,PlotWise,1,1,2,-0.17375000000000002,-0.2675,-0.08,0.6666666666666666,0.08073333333333335,-0.08433333333333334,4,3.5,0.875,0.5,1,6,3.25,5.5
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,1,1,2,-0.12107142857142858,-0.17500000000000002,-0.06714285714285714,1,0.3897,-0.3354666666666667,4,4,1,0.5,1,6,6,6
67eec9e200be02ad51843d9b,CP,Control,PlotWise,0,0,0,-0.278125,-0.54625,-0.01,0.33333333333333337,-0.0629666666666667,-0.2855,4,0.5,0.125,0.5,1,1,1,2.875
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,1,1,2,-0.1211607142857143,-0.16375,-0.0785714285714286,0.33333333333333337,0.06713333333333332,-0.00859999999999999,4,3,0.75,0.5,1,3.6666666666666665,3,3.25
695bbdf21fd961458dd7390f,CP,Control,PlotWise,0.5,0,0.5,-0.42348214285714286,-0.24125,-0.6057142857142858,0.6666666666666666,0.03736666666666665,-0.0985,4,1.5,0.375,0.5,1,2,3.25,4.75
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,1,1,2,-0.106875,-0.19375,-0.01999999999999999,0.6666666666666666,0.11933333333333332,-0.27546666666666664,4,4,1,1,2,6,5.25,4.75
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,0,0,0,-0.4334821428571428,-0.44125,-0.4257142857142857,0.6666666666666666,0.06989999999999999,-0.08263333333333334,4,0,0,1,2,4.333333333333333,5.5,5.125
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,0.5,1,1.5,-0.294375,-0.17875000000000002,-0.41,0.6666666666666666,0.1241,-0.11256666666666666,4,1.5,0.375,0.5,1,6,5.75,6
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,0.5,1,1.5,-0.13714285714285715,-0.2,-0.0742857142857143,1,0.34136666666666665,-0.18906666666666663,4,4,1,0.5,1,5,4,4
69b64051157b8364c2a0afa6,CP,Control,PlotWise,0.5,0,0.5,-0.304375,-0.23875,-0.37,0.6666666666666666,0.07276666666666662,-0.17603333333333335,4,2,0.5,0.5,1,4.333333333333333,4.25,4.5
69baaee936d901eb8e30d457,CP,Control,PlotWise,0.5,1,1.5,-0.22428571428571428,-0.21,-0.23857142857142857,1,0.1636,-0.3556,4,2.5,0.625,0.5,1,6,5,5.75
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,0.5,0,0.5,-0.23098214285714286,-0.23625,-0.2257142857142857,0.6666666666666666,-0.06556666666666669,-0.08923333333333333,4,0,0,0.5,1,5.666666666666667,6,2.25
69defab23a249a0b519c8f6d,CP,Control,PlotWise,0.5,0,0.5,-0.485625,-0.64125,-0.33,0.33333333333333337,-0.24723333333333336,-0.302,4,3,0.75,0.5,1,4.333333333333333,3,3
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,0.5,0,0.5,-0.6163839285714285,-1.055625,-0.17714285714285713,0.6666666666666666,0.08023333333333335,-0.6041333333333333,4,4,1,0.5,1,5.666666666666667,5.5,5.25
