participantId,group,lecture_type,practice_type,trialId,responseId,responsePrompt,answer,answer_num,answer_scored,scale_type,question_label,reverse,duration,cleanedDuration
6448503fab8d495eb76b51b0,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,1,1,MSI,Excited about correlation and slope,FALSE,23081,23081
6448503fab8d495eb76b51b0,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,5,5,5,MSI,Correlation and slope are interesting,FALSE,23081,23081
6448503fab8d495eb76b51b0,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,5,5,5,MSI,Statistics is interesting,FALSE,23081,23081
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,3,3,4,TSI,Video was boring,TRUE,34830,34830
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,6,6,6,TSI,Enjoyed learning new things,FALSE,34830,34830
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,6,6,6,TSI,Enjoyed this session,FALSE,34830,34830
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,6,6,6,TSI,Fun to learn about statistics this way,FALSE,34830,34830
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,5,5,5,TSI,Video was fun,FALSE,34830,34830
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,1,1,6,TSI,Session was boring,TRUE,34830,34830
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,5,5,5,TSI,Session was fun,FALSE,34830,34830
6448503fab8d495eb76b51b0,CC,Control,Control,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,6,6,6,TSI,Session was interesting,FALSE,34830,34830
65ccca52871269168cc029b5,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,6,6,6,FutureInterest,Interested in any study,FALSE,7219,7219
65ccca52871269168cc029b5,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,6,6,6,FutureInterest,Interested in a dynamic visualization study,FALSE,7219,7219
65ccca52871269168cc029b5,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,6,6,6,FutureInterest,Interested in a statistics study,FALSE,7219,7219
