participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,5,34625,34625,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,windowEvents,NA,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":65,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":7,""visibility"":0}",NA,NA,NA,NA
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_any_study,NA,6,21751,21751,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_dynamic_vis_study,NA,6,21751,21751,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_statistics_study,NA,6,21751,21751,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,futureInterestSurvey,windowEvents,NA,"{""focus"":0,""input"":0,""keydown"":4,""keyup"":1,""mousemove"":24,""mousedown"":4,""mouseup"":5,""resize"":0,""scroll"":4,""visibility"":0}",NA,NA,NA,NA
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,6,23081,23081,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,23081,23081,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,5,23081,23081,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,5,23081,23081,completed,100
