participantId,group,lecture_type,practice_type,scale_type,interest_n_items,composite
695bbdf21fd961458dd7390f,CP,Control,PlotWise,MSI,4,3.25
695bbdf21fd961458dd7390f,CP,Control,PlotWise,TSI,8,4.75
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,FutureInterest,3,6
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,MSI,4,5.25
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,TSI,8,4.75
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,FutureInterest,3,4.333333333333333
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,MSI,4,5.5
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,TSI,8,5.125
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,FutureInterest,3,6
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,MSI,4,5.75
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,TSI,8,6
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,FutureInterest,3,5
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,MSI,4,4
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,TSI,8,4
69b64051157b8364c2a0afa6,CP,Control,PlotWise,FutureInterest,3,4.333333333333333
69b64051157b8364c2a0afa6,CP,Control,PlotWise,MSI,4,4.25
69b64051157b8364c2a0afa6,CP,Control,PlotWise,TSI,8,4.5
69baaee936d901eb8e30d457,CP,Control,PlotWise,FutureInterest,3,6
69baaee936d901eb8e30d457,CP,Control,PlotWise,MSI,4,5
69baaee936d901eb8e30d457,CP,Control,PlotWise,TSI,8,5.75
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,FutureInterest,3,5.666666666666667
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,MSI,4,6
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,TSI,8,2.25
69defab23a249a0b519c8f6d,CP,Control,PlotWise,FutureInterest,3,4.333333333333333
69defab23a249a0b519c8f6d,CP,Control,PlotWise,MSI,4,3
69defab23a249a0b519c8f6d,CP,Control,PlotWise,TSI,8,3
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,FutureInterest,3,5.666666666666667
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,MSI,4,5.5
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,TSI,8,5.25
69e696140295abac7fb9c28b,CP,Control,PlotWise,FutureInterest,3,6
69e696140295abac7fb9c28b,CP,Control,PlotWise,MSI,4,6
69e696140295abac7fb9c28b,CP,Control,PlotWise,TSI,8,6
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,FutureInterest,3,5.666666666666667
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,MSI,4,3.5
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,TSI,8,3.875
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,FutureInterest,3,6
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,MSI,4,3.75
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,TSI,8,4.125
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,FutureInterest,3,5.666666666666667
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,MSI,4,5.5
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,TSI,8,5.875
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,FutureInterest,3,6
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,MSI,4,5.25
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,TSI,8,5.875
66d88375799e00b593a8655f,PC,PlotWise,Control,FutureInterest,3,6
66d88375799e00b593a8655f,PC,PlotWise,Control,MSI,4,5
66d88375799e00b593a8655f,PC,PlotWise,Control,TSI,8,5.875
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,FutureInterest,3,2.6666666666666665
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,MSI,4,1
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,TSI,8,2
69419e9576aea13f332266ff,PC,PlotWise,Control,FutureInterest,3,5.333333333333333
69419e9576aea13f332266ff,PC,PlotWise,Control,MSI,4,4.75
69419e9576aea13f332266ff,PC,PlotWise,Control,TSI,8,4.875
69442e09aea78e142db2e54f,PC,PlotWise,Control,FutureInterest,3,4.666666666666667
69442e09aea78e142db2e54f,PC,PlotWise,Control,MSI,4,3.5
69442e09aea78e142db2e54f,PC,PlotWise,Control,TSI,8,3.25
69457dc95341cec41fca5695,PC,PlotWise,Control,FutureInterest,3,6
69457dc95341cec41fca5695,PC,PlotWise,Control,MSI,4,4.75
69457dc95341cec41fca5695,PC,PlotWise,Control,TSI,8,4.75
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,FutureInterest,3,6
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,MSI,4,5.25
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,TSI,8,5.25
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,FutureInterest,3,5.333333333333333
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,MSI,4,1.25
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,TSI,8,2.625
69afafce3f7970642a6dc071,PC,PlotWise,Control,FutureInterest,3,4.333333333333333
69afafce3f7970642a6dc071,PC,PlotWise,Control,MSI,4,3.25
69afafce3f7970642a6dc071,PC,PlotWise,Control,TSI,8,3.125
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,FutureInterest,3,6
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,MSI,4,5
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,TSI,8,5.25
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,FutureInterest,3,6
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,MSI,4,5
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,TSI,8,5.75
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,FutureInterest,3,6
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,MSI,4,4
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,TSI,8,1.75
69c13c0ad9ea03501703d527,PC,PlotWise,Control,FutureInterest,3,5
69c13c0ad9ea03501703d527,PC,PlotWise,Control,MSI,4,4.25
69c13c0ad9ea03501703d527,PC,PlotWise,Control,TSI,8,4
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,FutureInterest,3,5.333333333333333
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,MSI,4,1.75
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,TSI,8,3
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,FutureInterest,3,6
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,MSI,4,2.75
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,TSI,8,3.25
69e913482ae5864d44e6387c,PC,PlotWise,Control,FutureInterest,3,6
69e913482ae5864d44e6387c,PC,PlotWise,Control,MSI,4,5
69e913482ae5864d44e6387c,PC,PlotWise,Control,TSI,8,5
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,FutureInterest,3,6
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,MSI,4,6
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,TSI,8,5.375
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,FutureInterest,3,6
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,MSI,4,4.25
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,TSI,8,4.375
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,FutureInterest,3,6
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,MSI,4,3.5
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,TSI,8,4.25
