participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",2 years ago,136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",2,136030,136030,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",5 months ago,120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",5 or more,120041,120041,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",Mathematical Statistics II,147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",B,147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",5 or more,147643,147643,completed,100
69c440c36f9c43fe1266a56b,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,41261,41261,completed,100
69c440c36f9c43fe1266a56b,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,41261,41261,completed,100
69c440c36f9c43fe1266a56b,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",4 years ago,41261,41261,completed,100
69c440c36f9c43fe1266a56b,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",C,41261,41261,completed,100
69c440c36f9c43fe1266a56b,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",2,41261,41261,completed,100
69c59eeb6b373bc928a1aba9,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,85621,85621,completed,100
69c59eeb6b373bc928a1aba9,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,85621,85621,completed,100
69c59eeb6b373bc928a1aba9,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,85621,85621,completed,100
69c59eeb6b373bc928a1aba9,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",NA,85621,85621,completed,100
69c59eeb6b373bc928a1aba9,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,85621,85621,completed,100
69d5bc72bf90388665397b6e,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),142306,142306,completed,100
69d5bc72bf90388665397b6e,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,142306,142306,completed,100
69d5bc72bf90388665397b6e,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",1 year ago,142306,142306,completed,100
69d5bc72bf90388665397b6e,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",C,142306,142306,completed,100
69d5bc72bf90388665397b6e,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",2,142306,142306,completed,100
69e293f57120947b9a8408de,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),126881,126881,completed,100
69e293f57120947b9a8408de,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,126881,126881,completed,100
69e293f57120947b9a8408de,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,126881,126881,completed,100
69e293f57120947b9a8408de,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",B,126881,126881,completed,100
69e293f57120947b9a8408de,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",4,126881,126881,completed,100
69e7ac40430645b3492b7f1b,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),78506,78506,completed,100
69e7ac40430645b3492b7f1b,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,78506,78506,completed,100
69e7ac40430645b3492b7f1b,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",over 4 years,78506,78506,completed,100
69e7ac40430645b3492b7f1b,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",B,78506,78506,completed,100
69e7ac40430645b3492b7f1b,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",2,78506,78506,completed,100
69e96cde65aa9df15260c718,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,78501,78501,completed,100
69e96cde65aa9df15260c718,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,78501,78501,completed,100
69e96cde65aa9df15260c718,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",11 years,78501,78501,completed,100
69e96cde65aa9df15260c718,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",I don't remember,78501,78501,completed,100
69e96cde65aa9df15260c718,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",1,78501,78501,completed,100
69e9f6a993985bfec2114d70,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,52906,52906,completed,100
69e9f6a993985bfec2114d70,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,52906,52906,completed,100
69e9f6a993985bfec2114d70,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,52906,52906,completed,100
69e9f6a993985bfec2114d70,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",I don't remember,52906,52906,completed,100
69e9f6a993985bfec2114d70,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,52906,52906,completed,100
69eae5f4f5ce43d5a34d388f,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,56643,56643,completed,100
69eae5f4f5ce43d5a34d388f,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,56643,56643,completed,100
69eae5f4f5ce43d5a34d388f,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,56643,56643,completed,100
69eae5f4f5ce43d5a34d388f,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",I don't remember,56643,56643,completed,100
69eae5f4f5ce43d5a34d388f,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,56643,56643,completed,100
69ecc0e01df33a8b5fa811f2,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",NA,60036,60036,completed,100
69ecc0e01df33a8b5fa811f2,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,60036,60036,completed,100
69ecc0e01df33a8b5fa811f2,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,60036,60036,completed,100
69ecc0e01df33a8b5fa811f2,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",NA,60036,60036,completed,100
69ecc0e01df33a8b5fa811f2,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,60036,60036,completed,100
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",NA,71097,71097,completed,100
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,71097,71097,completed,100
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,71097,71097,completed,100
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",NA,71097,71097,completed,100
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,71097,71097,completed,100
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),105857,105857,completed,100
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,105857,105857,completed,100
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",40 years ago,105857,105857,completed,100
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,105857,105857,completed,100
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,105857,105857,completed,100
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,73762,73762,completed,100
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,73762,73762,completed,100
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,73762,73762,completed,100
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",I don't remember,73762,73762,completed,100
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,73762,73762,completed,100
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),93679,93679,completed,100
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,93679,93679,completed,100
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",18 years,93679,93679,completed,100
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,main-control-plotwise.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,93679,93679,completed,100
