participantId,group,lecture_type,practice_type,stat_type,n_items,n_valid,n_extreme,mean_abs_error,median_abs_error,mean_abs_error_all,median_abs_error_all,sign_error_rate
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,correlation,8,8,0,0.25,0.20499999999999996,0.25,0.20499999999999996,0
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,slope,7,7,0,0.13714285714285715,0.030000000000000027,0.13714285714285715,0.030000000000000027,0
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,correlation,8,8,0,0.41624999999999995,0.32999999999999996,0.41624999999999995,0.32999999999999996,0.25
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,slope,7,7,0,0.08285714285714287,0.06000000000000005,0.08285714285714287,0.06000000000000005,0
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,correlation,8,8,0,0.11999999999999998,0.105,0.11999999999999998,0.105,0
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,slope,7,5,2,0.098,0.12,12.735714285714286,0.13999999999999999,0
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,correlation,8,8,0,0.25749999999999995,0.24999999999999997,0.25749999999999995,0.24999999999999997,0
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,slope,7,5,2,0.8480000000000001,0.21000000000000002,16.148571428571426,0.36,0
676276312d87ec9601be7d5c,CP,Control,PlotWise,correlation,8,8,0,0.2675,0.22999999999999998,0.2675,0.22999999999999998,0
676276312d87ec9601be7d5c,CP,Control,PlotWise,slope,7,7,0,0.08,0.03999999999999998,0.08,0.03999999999999998,0
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,correlation,8,8,0,0.17500000000000002,0.13,0.17500000000000002,0.13,0
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,slope,7,7,0,0.06714285714285714,0.03999999999999998,0.06714285714285714,0.03999999999999998,0
67eec9e200be02ad51843d9b,CP,Control,PlotWise,correlation,8,8,0,0.54625,0.5,0.54625,0.5,0.125
67eec9e200be02ad51843d9b,CP,Control,PlotWise,slope,7,1,6,0.01,0.01,36.97714285714286,27.53,0
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,correlation,8,8,0,0.16375,0.15499999999999997,0.16375,0.15499999999999997,0
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,slope,7,7,0,0.0785714285714286,0.09000000000000001,0.0785714285714286,0.09000000000000001,0
695bbdf21fd961458dd7390f,CP,Control,PlotWise,correlation,8,8,0,0.24125,0.28,0.24125,0.28,0
695bbdf21fd961458dd7390f,CP,Control,PlotWise,slope,7,7,0,0.6057142857142858,0.53,0.6057142857142858,0.53,0
