participantId,group,lecture_type,practice_type,status,percentComplete,correlation_n_items,slope_n_items,correlation_n_valid,slope_n_valid,correlation_n_extreme,slope_n_extreme,correlation_mean_abs_error,slope_mean_abs_error,correlation_median_abs_error,slope_median_abs_error,correlation_mean_abs_error_all,slope_mean_abs_error_all,correlation_median_abs_error_all,slope_median_abs_error_all,correlation_sign_error_rate,slope_sign_error_rate,choose_r_n_items,choose_r_score,choose_r_pct_correct,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r,FutureInterest,MSI,TSI
5e0b388b15ef4037cebdecc9,CC,Control,Control,completed,100,8,7,8,7,0,0,0.6375,0.04142857142857143,0.485,0.039999999999999925,0.6375,0.04142857142857143,0.485,0.039999999999999925,0.625,0,2,1,0.5,3,7.666666666666667,0.6666666666666666,0.3285,0.16086666666666666,-0.2602333333333333,0.3481,0.09156666666666666,-0.22403333333333333,0.35009999999999997,1,1,1,1.375
64012ee6e3f2e59aaa36f718,CC,Control,Control,completed,100,8,7,8,7,0,0,0.4175,1.2228571428571429,0.39999999999999997,1.53,0.4175,1.2228571428571429,0.39999999999999997,1.53,0.125,0.42857142857142855,2,1,0.5,3,6.333333333333333,1,0.2116333333333333,0.3528,-0.06829999999999997,0.2116333333333333,0.2667333333333333,-0.048866666666666655,0.18526666666666666,0,4.666666666666667,3.5,5
6448503fab8d495eb76b51b0,CC,Control,Control,completed,100,8,7,8,7,0,0,0.36874999999999997,1.0614285714285714,0.35,0.16999999999999998,0.36874999999999997,1.0614285714285714,0.35,0.16999999999999998,0,0,2,1,0.5,3,6.666666666666667,0.33333333333333337,-0.1393333333333333,0.8114333333333333,0.3903333333333333,0.3903333333333333,0.7346666666666667,0.41906666666666664,0.41906666666666664,0,6,4.25,5.5
65ccca52871269168cc029b5,CC,Control,Control,completed,100,8,7,8,7,0,0,0.2525,0.09285714285714283,0.22,0.020000000000000018,0.2525,0.09285714285714283,0.22,0.020000000000000018,0,0,2,1,0.5,3,6,0.33333333333333337,-0.04856666666666667,0.6584666666666666,0.2373666666666667,0.2373666666666667,0.6255333333333334,0.30993333333333334,0.30993333333333334,0,6,1.5,1.5
663eb286696a0a72e8f06e0f,CC,Control,Control,completed,100,8,7,8,7,0,0,0.2025,0.36428571428571427,0.20000000000000004,0.38,0.2025,0.36428571428571427,0.20000000000000004,0.38,0,0,2,1,0.5,3,6.333333333333333,1,0.20426666666666668,0.48496666666666666,0.06386666666666671,0.20426666666666668,0.41933333333333334,0.10373333333333334,0.24486666666666665,0,6,3.5,5.375
6985cae61f4f48abdf956530,CC,Control,Control,completed,100,8,7,8,7,0,0,0.41625,0.10857142857142858,0.18,0.06999999999999995,0.41625,0.10857142857142858,0.18,0.06999999999999995,0.375,0,2,1,0.5,3,6.333333333333333,1,0.36983333333333335,0.010266666666666691,-0.41083333333333333,0.4719666666666667,-0.030833333333333355,-0.3464333333333333,0.3996333333333333,1,6,6,5.875
698b661701f0981576ed9dec,CC,Control,Control,completed,100,8,7,8,7,0,0,0.21625,0.0642857142857143,0.195,0.030000000000000027,0.21625,0.0642857142857143,0.195,0.030000000000000027,0.125,0,2,1,0.5,3,6,0.6666666666666666,-0.01616666666666668,0.47900000000000004,0.05790000000000005,0.12236666666666668,0.3661,0.050499999999999975,0.11183333333333331,0,5.666666666666667,4.5,4.375
69991d70dd2583a349d03468,CC,Control,Control,completed,100,8,7,8,7,0,0,0.25375000000000003,0.18999999999999997,0.225,0.18999999999999995,0.25375000000000003,0.18999999999999997,0.225,0.18999999999999995,0,0,2,1,0.5,3,6,1,0.28586666666666666,0.23703333333333332,-0.18406666666666663,0.28586666666666666,0.1736666666666667,-0.1419333333333333,0.26280000000000003,1,2.6666666666666665,1,1.125
699a436ee9032e2b2333d3c1,CC,Control,Control,completed,100,8,7,8,7,0,0,0.23625,0.03714285714285714,0.18500000000000003,0.030000000000000027,0.23625,0.03714285714285714,0.18500000000000003,0.030000000000000027,0,0,2,1,0.5,3,6,0.6666666666666666,0.13593333333333332,0.36723333333333336,-0.05386666666666664,0.15473333333333333,0.29819999999999997,-0.01740000000000002,0.10493333333333332,0,6,5.25,5.5
69b5d74131631c0333607bec,CC,Control,Control,completed,100,8,7,8,7,0,0,0.1,0.05571428571428574,0.06500000000000006,0.030000000000000027,0.1,0.05571428571428574,0.06500000000000006,0.030000000000000027,0,0,2,1,0.5,3,6,1,0.1925,0.3141333333333333,-0.10696666666666665,0.1925,0.24353333333333332,-0.07206666666666668,0.16053333333333333,0,5,5.25,5.125
