group,lecture_type,practice_type,n,n_with_scores,mean_correlation_prior,sd_correlation_prior,mean_slope_prior,sd_slope_prior,mean_total_prior,sd_total_prior
CC,Control,Control,20,20,0.525,0.25520889276702025,0.525,0.34316637057662985,1.05,0.48395302077349356
CP,Control,PlotWise,20,20,0.55,0.2762531257265412,0.55,0.4559547530644958,1.1,0.6609403189873938
PC,PlotWise,Control,20,20,0.525,0.25520889276702025,0.625,0.42534815461170034,1.15,0.5642880936468349
PP,PlotWise,PlotWise,20,20,0.6,0.20519567041703082,0.6,0.34792618696922967,1.2,0.37696851746252596
