Contrast,Estimate type,Estimate,95% CI,SE,Test statistic,p-value,p_value_numeric,estimate_value,lower_value,upper_value
any_plotwise_vs_CC,Odds ratio,1.023,0.518 to 2.024,0.356,0.067,0.947,0.9469790287186619,1.02340435793587,0.5175197805587312,2.0237998994190534
plotwise_practice_vs_control_practice,Odds ratio,1.129,0.618 to 2.063,0.347,0.396,0.692,0.6921904412887309,1.1294303343011742,0.6182443731001656,2.0632826363516164
plotwise_lecture_vs_control_lecture,Odds ratio,1.672,0.915 to 3.055,0.514,1.673,0.0944,0.09438186589191962,1.672425474619631,0.9154755258857941,3.0552504016427697
PP_vs_others,Odds ratio,2.282,1.046 to 4.975,0.907,2.074,0.0381,0.03809845119120078,2.281537969451095,1.0463163643388402,4.9749919655861365
CP_vs_PC,Odds ratio,0.675,0.309 to 1.474,0.269,-0.986,0.324,0.3240967225404822,0.6753247612172654,0.30948858280099073,1.4736037400333353
