Contrast,Estimate type,Estimate,95% CI,SE,Test statistic,p-value,p_value_numeric,estimate_value,lower_value,upper_value
CC / CP,Odds ratio,1.615,0.574 to 4.545,0.65,1.191,0.633,0.6325732550288198,1.6153843875949647,0.5741176752579285,4.545177464730082
CC / PC,Odds ratio,1.091,0.373 to 3.187,0.455,0.209,0.997,0.9967959784277264,1.0909090758266682,0.3734457118778256,3.1867620215447428
CC / PP,Odds ratio,0.529,0.159 to 1.765,0.248,-1.357,0.526,0.5264177894491334,0.5294119962133558,0.15883401043598186,1.7645909774945592
CP / PC,Odds ratio,0.675,0.243 to 1.878,0.269,-0.986,0.757,0.7574077011367288,0.6753247612172654,0.24285096583032104,1.8779564312369514
CP / PP,Odds ratio,0.328,0.103 to 1.046,0.148,-2.47,0.0647,0.0646694351147965,0.32773128196537854,0.10271080011560589,1.0457302743020003
PC / PP,Odds ratio,0.485,0.147 to 1.601,0.226,-1.556,0.404,0.4041383904427216,0.48529433657170595,0.14707258561475817,1.60132217791743
